department	course_number	course_name	units	description
AWP	AWP 4A	Analytical Writing and Academic English A	4	AWP 4A is the first of two courses designed to offer students who need extra English language support the opportunity to develop their critical thinking and writing abilities over two quarters. Students who enroll in AWP 4A are required to enroll in AWP 4B in the subsequent quarter. Pass/Not Pass only. Replaced AWP 2A. Students may not receive credit for AWP 4A and AWP 2A or ELWR 2A. Students must earn a grade of Pass to move on to AWP 4B.
AWP	AWP 4B	Analytical Writing and Academic English B	4	AWP 4B is the second of two courses designed to offer students who need extra English language support the opportunity to develop their critical thinking and writing abilities over two quarters. At the end of AWP 4B, students will produce a portfolio of work that will determine their readiness to enter the college writing programs. Replaced AWP 2B. Students may not receive credit for AWP 4B and AWP 2B or ELWR 2B. Students must earn a grade of C or better in AWP 4B to satisfy the UC Entry Level Writing Requirement. If a grade of C or better is not earned, students are placed in AWP 3. Prerequisites: AWP 4A.
AWP	AWP 10	Language and Learning in the American Academy	4	This course will introduce critical thinking, reading, writing, speaking, and listening practices appropriate to college-level work. It will prepare students who may not be familiar with the learning expectations of American universities to fully join the academic conversation. Students may not receive credit for AWP 10 and LTWR 4.
AWP	AWP 100	Writing a Researched Argument	4	This course offers students intensive instruction in the critical and rhetorical practices necessary to craft strong, research-informed arguments. Students also make short multi-modal presentations to practice delivering what they have written. Course topics will vary. Prerequisites: upper-division or graduate standing.
AWP	AWP 101	Writing about Science	4	Students write about scientific topics for non-scientific audiences, engaging with current debates in the sciences, analyzing the rhetorical strategies employed, and composing rhetorically strategic responses of their own. Students also make short multi-modal presentations to practice delivering what they have written. The intensive focus on writing and revising is especially useful for students who want to develop their writing. Prerequisites: upper-division or graduate standing.
AWP	AWP 102	Writing for the Professions	4	Students use writing to explore and to create a professional identity. Assignments range from articulating the questions and problems that students hope to explore in their professional lives to understanding the current conversations in their chosen professions, and to fashioning resumes, cover letters, and presentations that declare what they hope to contribute professionally. The intensive focus on writing and revising is especially useful for students who want to develop their writing. Prerequisites: upper-division or graduate standing.
AWP	AWP 103	Writing about the Law	4	Students write about legal topics for a general audience. Students will examine the rhetorical strategies employed by various stakeholders in controversial Supreme Court cases. They will then weigh in, composing their own strategic arguments. Students will also make short multi-modal presentations to practice delivering what they have written. The intensive focus on writing and revising is especially useful for students who want to develop their writing. Prerequisites: upper-division or graduate standing.
AWP	AWP 195	Academic Mentoring in Writing	2	Under the supervision of an instructor, students will serve as peer mentors in analytical writing courses. Students will gain a fundamental understanding of the writing process and will develop the necessary skills to serve as productive writing mentors for their peers. Prerequisites: permission of the director of the Analytical Writing Program is required to enroll; 3.0 GPA is required.
AWP	AWP 500	Apprentice Teaching in the Analytical Writing Program	1–4	Consideration of pedagogical methods appropriate to undergraduate teaching of analytical writing, especially with regards to courses that fulfill the UC Entry Level Writing Requirement (ELWR). The course is required of all graduate teaching assistants who are engaged in or supporting instruction in the Analytical Writing Program. The course is potentially open to other graduate students seeking expertise in writing pedagogy, contingent upon the approval of the director. May be taken for credit up to eighteen times. Prerequisites: permission of the director of the Analytical Writing Program is required to enroll.
ANTH	ANTH 1	Introduction to Culture	4	An introduction to the anthropological approach to understanding human behavior, with an examination of data from a selection of societies and cultures.
ANTH	ANTH 2	Human Origins	4	An introduction to human evolution from the perspective of physical anthropology, including evolutionary theory and the evolution of the primates, hominids, and modern humans. Emphasis is placed on evidence from fossil remains and behavioral studies of living primates.
ANTH	ANTH 3	Global Archaeology	4	This course examines theories and methods used by archaeologists to investigate the origins and nature of human culture and its materiality. Case studies from the past and present, and digital heritage are explored. Recommended for many upper-division archaeology courses.
ANTH	ANTH 4	Words and Worlds: Introduction to the Anthropology of Language	4	How does one’s language mutually interact with the social, cultural, and conceptual worlds one inhabits and mutually constructs with others? This course will introduce the comparative study of social life through the lens of the uniquely human capacity for language.
ANTH	ANTH 5	The Human Machine: The Skeleton Within	4	Course will provide an introduction to bones as a tissue, to different bones in the body, and the ligaments and muscles surrounding major joints. You will learn how the skeleton, ligaments, and muscles support our mode of locomotion; the differences between male and female skeletons; and the differences across human populations. You’ll see how nutrition and disease can affect bones. Course examines functional areas within the body.
ANTH	ANTH 21	Race and Racisms	4	Why does racism still matter? How is racism experienced in the United States and across the globe? With insights from the biology of human variation, archaeology, colonial history, and sociocultural anthropology, we examine how notions of race and ethnicity structure contemporary societies.
ANTH	ANTH 23	Debating Multiculturalism: Race, Ethnicity, and Class in American Societies	4	This course focuses on the debate about multiculturalism in American society. It examines the interaction of race, ethnicity, and class, historically and comparatively, and considers the problem of citizenship in relation to the growing polarization of multiple social identities.
ANTH	ANTH 24	Mapping Capitalism	4	This course explores the diverse ways that scholars across the humanities and social sciences have defined “capitalism” as their object of study. Much more than rational individuals involved in market relations, these approaches to capitalism explore such themes as sentiment, desire, meaning, deception, and habit.
ANTH	ANTH 42	Primates in a Human-Dominated World	4	Will primates survive the anthropocene? We review major primate field studies for features of primate behavior and behavioral diversity and then consider the impact of habitat fragmentation, habitat loss, human wildlife conflict, and commensalism on the future of primates.
ANTH	ANTH 43	Introduction to Biology and Culture of Race	4	This course examines conceptions of race from evolutionary and sociocultural perspectives. We will critically examine how patterns of current human genetic variation map onto conceptions of race. We will also focus on the history of the race concept and explore ways in which biomedical researchers and physicians use racial categories today. Finally, we will examine the social construction of race, and the experiences and consequences of racism on health in the United States and internationally.
ANTH	ANTH 45	Wisdom and Ecstasy	4	How do the world’s religions grapple with the enduring mysteries of human existence, such as the origins of the cosmos, the meaning of life and death, or the healing of suffering? By delving into “wisdom,” we will explore how different religious communities realize—in thought and in action—the underlying order of their world; in focusing on “ecstasy,” we will attend to deeply transformative experiences of personal contact with the divine within diverse religious milieus.
ANTH	ANTH 87	First-year Student Seminar	1	The First-year Student Seminar Program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. First-year student seminars are offered in all campus departments and undergraduate colleges. Topics vary from quarter to quarter. Enrollment is limited to fifteen to twenty students, with preference given to entering first-year students.
ANTH	ANTH 101	Foundations of Social Complexity	4	Course examines archaeological evidence for three key “tipping points” in the human career: (1) the origins of modern human social behaviors, (2) the beginnings of agriculture and village life, and (3) the emergence of cities and states. Prerequisites: upper-division standing. (Required for all majors in anthropology.)
ANTH	ANTH 102	Humans Are Cultural Animals	4	This class examines humans from a comparative perspective; if we ignore culture, what’s left? How do culture and biology interact? And how does biology inform cultural debates over race, sex, marriage, war, peace, etc.? Prerequisites: upper-division standing.
ANTH	ANTH 103	Sociocultural Anthropology	4	A systematic analysis of social anthropology and of the concepts and constructs required for cross-cultural and comparative study of human societies. Required for all majors in anthropology. Prerequisites: upper-division standing.
ANTH	ANTH 104	Transforming the Global Environment	4	Introduction to the role of humans as modifiers and transformers of the physical environment. Emphasis on current changes and contemporary public issues. Prerequisites: upper-division standing.
ANTH	ANTH 105	Climate Change, Race, and Inequality	4	This course introduces students to the ways in which climate change exacerbates environmental racism and inequality. We will consider the ways that structural violence and discriminatory policies create environmental inequalities where marginalized communities take on more of the risk and burdens of climate change. We will address community organizing and social justice efforts to combat the systems of power that unevenly distribute the burdens of climate change to marginalized communities. Prerequisites: upper-division standing.
ANTH	ANTH 106	Climate and Civilization	4	An introductory course that questions the whole collapse narrative while teaching students about the ways in which it has and hasn’t impacted humans. Prerequisites: upper-division standing.
ANTH	ANTH 107	Designing for Disasters, Emergencies, and Extreme Weather	4	Examines the social, economic, environmental, and health impacts of anthropogenic climate change through engaged learning that integrates practice and theory. Prerequisites: upper-division standing.
ANTH	ANTH 108	Indigenous Peoples, Extractive Development, and Climate Change	4	Across the world, indigenous peoples’ lands and livelihoods are increasingly vulnerable to extractive development projects such as mines, gas wells, dams, logging, and monoculture agriculture, all of which increase the impacts on climate change. This class addresses the ways indigenous communities use cultural and political resources to negotiate environmental, market, and political forces. Can protecting indigenous ways of life provide alternatives for global climate change? Prerequisites: upper-division standing.
ANTH	ANTH 109	Climate Change, Cultural Heritage, and Vulnerability	4	Cultural heritage is a human right that is threatened by climate change. This course introduces students to the concept of heritage, how multiple historical and ancient processes influence social vulnerabilities, and what challenges are being faced in the context of changing climate. We will explore the formation and meanings of tangible and intangible heritage, its relation to traditional knowledge and the roles of knowledge over social vulnerability. Prerequisites: upper-division standing.
ANTH	ANTH 110	The Climate Change Seminar	4	Explores climate change from the perspectives of biological, archaeological, sociocultural, and medical anthropology and global health. Students develop projects on key topics, such as food, health, sustainability, political economy, and the interaction of ecological and human processes across local, regional, and global scales. Examines social impacts and existential risks. Considers questions related to public policy, education, ethics, and interdisciplinary research collaboration. Prerequisites: upper-division standing.
ANTH	ANTH 111	Religion and Ecology: How Religion Matters in the Anthropocene	4	This course will study the role that religion has played, and possibly will play, in the Anthropocene, with religion construed broadly and comparatively. Topics include use of religion and ritual to regulate the ecology, religious conceptions of the relation between humanity and nature, how religion shapes ethical stances toward the nonhuman, religious ideas of ownership or stewardship of nonhuman resources, and the role of apocalyptic narratives in shaping reaction to climate change. Prerequisites: upper-division standing.
ANTH	ANTH 112	Regenerative Science and Human Ecology	4	How can we protect humanity and the planet from climate change? The course introduces methods and approaches needed to design and implement human-centered solutions to climate change. It examines the process of joining scientific knowledge with cultural knowledge to produce effective, regenerative, human-centered solutions. Explores ways to support social and ecological regeneration drawn from anthropology, culture-centered design, human ecology, and computational methods. Prerequisites: upper-division standing.
ANTH	ANTH 120	Climate Change in California: Problems and Solutions	4	Examines climate problems in California, the impacts these have, and the search for solutions in coastal, desert, and urban communities. Topics include drought, extreme heat, wildfires, and sea level rise. Explores potential of university-community partnerships in developing solutions. Prerequisites: upper-division standing.
ANTH	ANTH 128A	Climate Action Scholars: Community Engagement and Research	6	This course series will examine the historical, structural, and cultural roots of the climate crisis, its effects across diverse communities and ecologies, and the creative ways local people respond and build collective resilience. In this first quarter, students will engage in hands-on research, mapping, and documentation of climate change and associated social, environmental, and health impacts. Prerequisites: upper-division standing.
ANTH	ANTH 128B	Climate Action Scholars: Capstone Project	6	In the second course of this series, students will deepen and apply their knowledge of the diverse ways the climate crisis manifests and interacts with local conditions and histories of inequity and injustice. Students will continue to participate in collaborative learning and community-based research. In addition, they will develop and implement a capstone, “climate action project,” in collaboration with local community partners. Prerequisites: ANTH 128A or USP 128A.
ANTH	ANTH 147	Understanding the Human Social Order: Anthropology and the Long-Term	4	This course explores the nature of human social systems over the long term. Returning to the original project of anthropology in the broadest sense, we examine the origins and reproduction of the state, social classes, multiethnic configurations, and political economies. Prerequisites: upper-division standing.
ANTH	ANTH 192	Senior Seminar in Anthropology	1	The Senior Seminar Program is designed to allow senior undergraduates to meet with faculty members in a small group setting to explore an intellectual topic in anthropology (at the upper-division level). Senior Seminars may be offered in all campus departments. Topics will vary from quarter to quarter. Senior Seminars may be taken for credit up to four times, with a change in topic, and consent of the department. Enrollment is limited to twenty students, with preference given to seniors. Prerequisites: upper-division standing; department stamp and/or consent of instructor.
ANTH	ANTH 195	Instructional Apprenticeship in Anthropology	4	Course gives students experience in teaching of anthropology at the lower-division level. Students, under direction of instructor, lead discussion sections, attend lectures, review course readings, and meet regularly to prepare course materials and to evaluate examinations and papers. Course not counted toward minor or major. P/NP grades only. Prerequisites: upper-division standing and consent of instructor and department stamp. Received grade of A in course to be taught or equivalent. Student will need to apply for the Undergraduate Instructional Apprentice position through ASES, fulfill the Academic Senate Regulations, and receive the approval of the department, instructor, department chair, and Academic Senate.
ANTH	ANTH 196A	Honors Studies in Anthropology	4	Seminar to explore student research interests and methodologies needed to complete Honors Thesis in ANTH 196B. Students will be admitted to the Honors Program by invitation of the department in the spring of their junior year. Completion of this course with a grade of at least B+ is a prerequisite to ANTH 196B. Prerequisites: department approval required.
ANTH	ANTH 196B	Honors Studies in Anthropology	4	Independent preparation of a senior thesis under the supervision of a faculty member. Students begin two-quarter sequence in fall quarter. Prerequisites: completion of ANTH 196A with grade of B+ or better.
ANTH	ANTH 196C	Honors Studies in Anthropology	4	A weekly research seminar where students share, read, and discuss in-depth research findings resulting from ANTH 196A and 196B along with selected background literature used in each individual thesis. Students are also taught how to turn their theses into brief presentations for both specialized and broader audiences. Students will be offered opportunities to present their findings at campus events and outreach events during the quarter. Prerequisites: ANTH 196A-B.
ANTH	ANTH 198	Directed Group Study	2–4	Directed group study on a topic or in a field not included in the regular departmental curriculum by special arrangement with a faculty member. Student may take this course twice for credit. Please note: Majors may only apply eight units of approved P/NP credit toward the major, and minors may only apply four units of P/NP credit toward the minor. Please contact the department for a list of courses you may take on a P/NP basis and apply toward the major or minor. Prerequisites: consent of instructor and upper-division standing with minimum GPA of 2.5 and completed and approved Special Studies form. Department approval required. (Formerly known as ANPR 198.)
ANTH	ANTH 199	Independent Study	4	Independent study and research under the direction of a member of the faculty. Student may take this course twice for credit. Please note: majors may only apply eight units of approved P/NP credit toward the major, and minors may only apply four units of P/NP credit toward the minor. Please contact the department for a list of courses you may take on a P/NP basis and apply toward the major or minor. Prerequisites: consent of instructor and upper-division standing with minimum GPA of 2.5 and completed and approved Special Studies form. Department approval required. (Formerly known as ANPR 199.)
ANTH	ANAR 100	Special Topics in Anthropological Archaeology	4	Course will vary in title and content. When offered, the current description and title is found in the current Schedule of Classes and the Department of Anthropology website. May be taken for credit four times. Prerequisites: upper-division standing or consent of instructor.
ANTH	ANAR 104	Introduction to Geographic Information Systems (GIS) for Anthropologists and Archaeologists	4	This course is an introduction to geographic information systems (GIS) and spatial analysis for anthropologists and archaeologists. The course will provide students with background theory and basic skills in GIS through lectures and hands-on lab activities. Students will learn the basics of acquiring, storing, manipulating, analyzing, and visualizing spatial data for anthropological study. Prerequisites: upper-division standing.
ANTH	ANAR 105	The Archaeology of Literate Societies in Mesoamerica	4	Mesoamerican societies were writing their histories for 2,000 years before the Spanish conquest. Employing interdisciplinary methods of archaeological, historical, and anthropological source-integration, this course will explore the principles and challenges of studying literate societies, and the relevance to their contemporary descendants.
ANTH	ANAR 111	Foundations of Archaeology	4	As part of the broad discipline of anthropology, archaeology provides the long chronological record needed for investigating human and social evolution. The theories and methods used in this field are examined. (Archaeology core sequence course.) Recommended preparation: ANTH 3. Prerequisites: upper-division standing. 
ANTH	ANAR 113	Past, Present, and Future Perspectives on Natural Resources in Israel	4	The class will provide a basic overview of Israel’s natural resources, including water, stone, minerals, oil, and gas. Case studies on ancient exploitation of these resources will be presented (e.g., copper extraction from ore in the Negev, water management in Biblical Israel, stone quarrying for the Temple Mount, etc.), followed by a discussion on the current role of these resources in the economy of modern Israel. Prerequisites: upper-division standing.
ANTH	ANAR 114	Environmental Hazards in Israel	4	Israel, like California, is located on a complex tectonic boundary, which is responsible for a history of earthquakes, volcanism, and tsunamis. How great is the risk today and what will be the regional impact of a major earthquake? We will try to answer these questions by understanding the basic geology of Israel and reviewing the history of natural disasters as recorded by archaeology and historical documentation. Prerequisites: upper-division standing.
ANTH	ANAR 115	Coastal Geomorphology and Environmental Change—Perspectives from Israel and the South-Eastern Mediterranean	4	Students will develop a broad understanding of the morphological features that are identified in coastal systems, and the short- and long-term processes that shape them through time. Students will become familiar with terminology, approaches, and methodologies used in coastal geomorphological research, which are relevant for today’s study of climate and environmental change, with a focus on coastal sedimentary environments and an emphasis on the coast of Israel from ancient times until today. Prerequisites: upper-division standing.
ANTH	ANAR 116	Sea Level Change—The Israel Case in World Perspective	4	This course provides students with a broad understanding of the most current sea level change research that has been conducted around the globe. Students will be introduced to the general terminology used in this field, coastal shallow marine and deep-sea sea level indicators, and their degree of uncertainty, along with corresponding dating methods. An emphasis will be given to sea-level studies conducted in Israel and neighboring lands. Prerequisites: upper-division standing.
ANTH	ANAR 117	Archaeological Field and Lab Class, Southern California	4	The archaeological field and laboratory class will take place in the field in San Diego or adjacent counties. This course is a hands-on introduction to the research design of interdisciplinary archaeological projects and techniques of data collection, including survey, excavation, or laboratory analysis. May be taken for credit up to two times. Program or materials fees may apply. Prerequisites: upper-division standing or consent of instructor.
ANTH	ANAR 118	Archaeology of the UC San Diego Campus	4	Our campus houses some of the earliest human settlements in North America. This course reviews the archaeology, climate, and environment of the sites and outlines research aimed at understanding the lives of these early peoples. Prerequisites: upper-division standing or consent of instructor.
ANTH	ANAR 119S	Archaeological Field and Lab Class	8	The archaeological field and laboratory class will take place at Moquegua, Peru. It is an introduction to the research design of interdisciplinary projects, the technique of data collections, the methods of excavation and postexcavation lab work. Course materials fees may apply. Prerequisites: upper-division standing or consent of instructor.
ANTH	ANAR 120	Documenting Climate Change: Past and Present	4	This course will help familiarize students with the types of methods that people use to document shifting climate in the past and present day, in addition to training on geospatial data sets. Prerequisites: upper-division standing or consent of instructor.
ANTH	ANAR 121	Cyber-Archaeology and World Digital Cultural Heritage	4	Concerns the latest developments in digital data capture, analyses, curation, and dissemination for cultural heritage. Introduction to geographic information systems (GIS), spatial analysis, and digital technologies applied to documentation and promotion of cultural heritage and tourism. Lectures and lab exercises. Prerequisites: upper-division standing or consent of instructor.
ANTH	ANAR 124	Archaeology of Asia	4	This course explores the archaeology of Asia from the first humans through the rise of state societies. Topics include the environmental setting, pioneer migrations, hunting and gathering societies, plant and animal domestication, and the development of metallurgy, agriculture, technology, trade, and warfare in early civilizations. We consider how ancient political, intellectual, and artistic achievements shape the archaeological heritage in present-day Asia. Prerequisites: upper-division standing.
ANTH	ANAR 135S	Ancient Mediterranean Civilization	8	Study Abroad program that examines the origins and history of ancient Mediterranean civilizations from the late Neolithic period through the Classical era. During the course, students will visit some of the most important archaeological sites in the world, from the ancient megalithic temples of Malta, to Phoenician colonies of the early Iron Age, to the Carthaginian and Greek cities of Sicily, and ending with Roman Pompeii and Herculaneum, destroyed by the eruption of Vesuvius in AD 79. Students are required to apply for this Study Abroad course. Program or materials fees may apply. Prerequisites: upper-division standing. Department approval required. Students cannot receive credit for ANAR 135S and ANAR 135.
ANTH	ANAR 138	Mesopotamia: The Emergence of Civilization	4	This course explores in detail the rise of the world’s earliest cities and states in Mesopotamia and the ancient Near East during the fourth millennium B.C. Prerequisites: upper-division standing.
ANTH	ANAR 141	Prehistory of the Holy Land	4	Israel is a land-bridge between Africa and Asia. Course highlights the prehistory of the Levant and its interconnections from the Paleolithic to the rise of the earliest cities in anthropological perspective. Prerequisites: upper-division standing. 
ANTH	ANAR 142	The Rise and Fall of Ancient Israel	4	The emergence and consolidation of the state in ancient Israel is explored by using archaeological data, biblical texts, and anthropological theories. The social and economic processes responsible for the rise and collapse of ancient Israel are investigated. Recommended preparation: ANTH 3. Prerequisites: upper-division standing. 
ANTH	ANAR 143	Biblical Archaeology—Fact or Fiction	4	The relationship between archaeological data, historical research, the Hebrew Bible, and anthropological theory are explored along with new methods and current debates in Levantine archaeology. Prerequisites: upper-division standing. 
ANTH	ANAR 144	Pharaohs, Mummies, and Pyramids: Introduction to Egyptology	4	An introductory survey of the archaeology, history, art, and architecture of ancient Egypt that focuses on the men and women who shaped Western civilization. Prerequisites: upper-division standing.
ANTH	ANAR 145S	Study Abroad: Egypt of the Pharaohs	4	Introduction to the archaeology, history, art, architecture, and hieroglyphs of ancient Egypt. Taught in the field through visits to important temples, pyramids, palaces, and museums in Egypt. Complementary to ANAR 144. Course/program fees may apply. Prerequisites: consent of instructor only.
ANTH	ANAR 146	Feeding the World	4	What should we eat and how should we farm to guide a sustainable future? This course will examine what humans evolved to eat and how we began to first cultivate the foods we rely on today. After a survey of traditional farming methods around the world, we will examine how farming systems have changed since the Green Revolution and its successes and failures. The final part of class will focus on the last twenty years, when humans began to modify plant life at the genetic level. Students may not receive credit for ANAR 146 and SIO 146. Prerequisites: upper-division standing.
ANTH	ANAR 153	The Mysterious Maya	4	The archaeology, anthropology, and history of the Maya civilization, which thrived in Mexico and Central America from 1000 BC, until the Spanish conquest. Prerequisites: upper-division standing.
ANTH	ANAR 154	The Aztecs and their Ancestors	4	Introduction to the archaeology of the ancient culture of Mexico from the early Olmec culture through the Postclassic Aztec, Tarascan, Zapotec, and Mixtec states. Agriculture; trade and exchange; political and social organization; kinship networks; religious system, ideology, and worldviews. Prerequisites: upper-division standing.
ANTH	ANAR 155	Study Abroad: Ancient Mesoamerica	4	This course is an introduction to the archaeology of Mesoamerica and will provide students with the opportunity to gain practical skills from the field. Students will learn hands on by visiting significant ancient cities and museums in Mexico and Central America. Students may receive a combined total of twelve units for ANAR 155 and ANAR 155S. Program or materials fees may apply. Prerequisites: students must apply to study abroad program and obtain consent of instructor.
ANTH	ANAR 155S	Study Abroad: Ancient Mesoamerica	4	Introduction to archaeology of Mesoamerica, taught through visits to important ancient cities and museums of Mexico and Central America. Complementary to ANAR 154. Itinerary and subject will vary, so course may be taken more than once. Students may receive a combined total of twelve units for ANAR 155S and ANAR 155. Program or materials fees may apply. Prerequisites: students must apply and be accepted to the study abroad program to be given permission to enroll.
ANTH	ANAR 156	The Archaeology of South America	4	This course will examine archaeological evidence for the development of societies in the South American continent. From the initial arrival of populations through to the Inca period and the arrival of the Spaniards. Prerequisites: upper-division standing.
ANTH	ANAR 157	Early Empires of the Andes: The Middle Horizon	4	The civilizations of Wari and Tiwanaku built the first empires of Andean South America long before the Inca. Middle Horizon (AD 500–1000) mythohistory, urbanism, state origins, art, technology, agriculture, colonization, trade, and conquest are explored using ethnohistory and archaeological sources. Students may not receive credit for both ANAR 157S and ANAR 157. Prerequisites: upper-division standing or consent of instructor.
ANTH	ANAR 157S	Early Empires of the Andes: The Middle Horizon	4	The civilizations of Wari and Tiwanaku built the first empires of Andean South America long before the Inca. Middle Horizon (AD 500–1000) mythohistory, urbanism, state origins, art, technology, agriculture, colonization, trade, and conquest are explored using ethnohistory and archaeological sources. Course is offered during summer Study Abroad. Students may not receive credit for both ANAR 157 and ANAR 157S. Prerequisites: upper-division standing or consent of instructor.
ANTH	ANAR 158	The Inca: Empire of the Andes	4	The history and culture of the Inca Empire of South America and its fatal encounter with the West. Archaeological excavations, accounts from the sixteenth and seventeenth centuries, and ethnographies of present-day peoples of the Andes are explored. Prerequisites: upper-division standing or consent of instructor.
ANTH	ANAR 158GS	The Inca	4	The history and culture of the Inca Empire of South America and its fatal encounter with the west. Archaeological excavations, sixteenth- and seventeenth-century accounts, and ethnographies of present-day peoples of the Andes are explored. Prerequisites: upper-division standing or consent of instructor. Students must submit applications to the International Center Programs Abroad Office and be accepted into the Global Seminar Program.
ANTH	ANAR 159	Pre-Hispanic Societies of the Caribbean Archipelago	4	This course focuses on the social processes shaping the pre-Hispanic societies of the Caribbean Archipelago from 7kya to 1500 CE. Through the lens of material culture, we examine the archaeology of both the Greater and the Lesser Antilles, and recognize the role that colonialism has had on modern Caribbean identities and discourses, including the development of Tainidad as indigeneity in the present. Prerequisites: upper-division standing.
ANTH	ANAR 159GS	“1492”: Coexistence, Crusade, and the Origins of the Spanish Conquest	4	This course will focus on the period from 711 through the end of the sixteenth century, and will contrast evidence for “convivencia” (multicultural coexistence) versus the history of hostility, crusade, and religious intolerance among three great cultures of medieval Spain. We will then trace the direct line from the negotiation of identity and intercultural frontiers in Spain, to the conquest of the Americas and interaction with Native Americans. Prerequisites: upper-division standing. Students must submit applications to the International Center Programs Abroad Office and be accepted into the Global Seminar Program.
ANTH	ANAR 160	Ancient Maya: Archaeological Problems and Perspectives	4	This course considers in detail a particular region or archaeological site within the Maya area. Content will cover primary literature on Maya archaeology, epigraphy, and art history. Course content will vary based on the specific region/site. May be taken for credit three times. Prerequisites: upper-division standing and ANAR 153. Graduate students wishing to enroll should have already taken ANTH 202.
ANTH	ANAR 164	Underwater Archaeology—From Atlantis to Science	4	(Cross-listed with SIO 164.) Underwater archaeology provides access to ancient environmental and cultural data concerning human adaptation to climate and environmental change. Provides an overview of methods, theories, and practice of marine archaeology including environmental characteristics of coastal and underwater settings; the nature of ports, navigation, maritime culture, submerged landscapes, shipbuilding; methods of research in underwater settings; and legislative issues regarding underwater and coastal heritage. Students may not receive credit for both ANAR 164 and SIO 164. Prerequisites: upper-division standing.
ANTH	ANAR 165	Marine and Coastal Archaeology and the Biblical Seas	4	This course will follow the interaction between humans and the sea in cultures that formed the biblical world of the second and first millennium BCE: the Canaanites, Israelites, Egyptians, Phoenicians, Philistines, and cultures of the Aegean Sea. Themes discussed will be maritime matters in the Canaanite and biblical narrative, key discoveries in maritime coastal archaeology of the eastern Mediterranean, shipwrecks: Canaanite, Phoenician, and Aegean, Egyptian ports, and Egyptian sea adventures. Prerequisites: upper-division standing.
